point_id,mean,min,max,std,status,lc2022,total_peaks,geo
0000000000000000009e,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.60886313097244,27.952922842273047]}"
0000000000000000009f,0.571,0.2827,0.808,0.1231,STABLE NON-CROP (Rangeland),4,21.0,"{""type"":""Point"",""coordinates"":[82.67379809467432,27.787182515217516]}"
000000000000000000a0,0.6233,0.3194,0.891,0.138,STABLE NON-CROP (Forest),4,22.0,"{""type"":""Point"",""coordinates"":[86.11658975422093,27.366229998469066]}"
000000000000000000a1,0.737,0.5243,0.9158,0.0857,STABLE NON-CROP (Rangeland),4,15.0,"{""type"":""Point"",""coordinates"":[82.75707180684743,28.57545348124357]}"
000000000000000000a2,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[83.53024871580757,28.309463644304476]}"
000000000000000000a3,0.6867,0.3584,0.926,0.1363,STABLE NON-CROP (Forest),4,21.0,"{""type"":""Point"",""coordinates"":[82.9974619446387,28.234541828404474]}"
000000000000000000a4,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[83.65718148639496,28.67516789900073]}"
000000000000000000a5,0.6942,0.3663,0.8764,0.1048,STABLE NON-CROP (Rangeland),4,17.0,"{""type"":""Point"",""coordinates"":[84.90871737906562,27.856980824007106]}"
000000000000000000a6,,,,,DISCARDED (Insufficient Samples),11,,"{""type"":""Point"",""coordinates"":[83.83262481734279,28.443401662646824]}"
000000000000000000a7,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[82.9799421365997,29.130072011170128]}"
000000000000000000a8,0.7666,0.5243,0.9158,0.073,STABLE NON-CROP (Rangeland),4,12.0,"{""type"":""Point"",""coordinates"":[81.61279513091637,28.69618810136667]}"
000000000000000000a9,0.724,0.2131,0.9048,0.1039,DISCARDED (Crop or Disturbance),4,13.0,"{""type"":""Point"",""coordinates"":[83.78815866163782,28.113000110990697]}"
000000000000000000aa,0.6704,0.2392,0.9846,0.1318,DISCARDED (Crop or Disturbance),4,18.0,"{""type"":""Point"",""coordinates"":[82.20083462323848,28.702386251830962]}"
000000000000000000ab,0.7271,0.5203,0.8856,0.0806,STABLE NON-CROP (Rangeland),4,15.0,"{""type"":""Point"",""coordinates"":[82.68134289365678,28.31620134599623]}"
