filename,geoReg,ALV,MoranI,ALV_norm,MoranI_norm,Global_Score
s-5_n-10_cn-8_cm-4.geojson,2,0.0008746439634671182,0.7071539629088172,0.42739110882623654,0.7861841912338626,1.213575300060099
s-8_n-16_cn-8_cm-6.geojson,2,0.0012555935945532729,0.6528445876334619,0.7610030917495234,0.4567052930782183,1.2177083848277417
s-5_n-10_cn-4_cm-4.geojson,2,0.0008775846178522132,0.7080635273872453,0.4299663509591834,0.7917022495918274,1.221668600551011
s-10_n-20_cn-8_cm-8.geojson,2,0.0014526980608683534,0.6272321090260008,0.9336149188378633,0.301321969520625,1.2349368883584884
s-9_n-18_cn-4_cm-7.geojson,2,0.0013498362485585612,0.6421659883083759,0.8435349440288264,0.39192139303082607,1.2354563370596525
s-4_n-8_cn-4_cm-5.geojson,2,0.0007617088239859027,0.7295501020168923,0.3284895408771513,0.9220549354443495,1.2505444763215008
s-4_n-8_cn-8_cm-6.geojson,2,0.0007544680840280495,0.7309170890304183,0.32214855136553533,0.930348040874601,1.2524965922401363
s-10_n-20_cn-4_cm-8.geojson,2,0.0014528176709021376,0.6302591771016981,0.9337196658629082,0.3196862951856904,1.2534059610485986
s-9_n-18_cn-8_cm-7.geojson,2,0.001356590308785099,0.645393592327969,0.8494497297146248,0.41150231088647354,1.2609520406010983
s-4_n-8_cn-8_cm-7.geojson,2,0.0007647766635310598,0.7314218578394367,0.3311761638593872,0.9334103237709794,1.2645864876303667
s-4_n-8_cn-8_cm-8.geojson,2,0.000767469762366052,0.7315295413570188,0.3335346122453024,0.9340636077858033,1.2675982200311058
s-6_n-12_cn-4_cm-5.geojson,2,0.0010530855771567935,0.690312818580202,0.5836591708514246,0.6840139554515656,1.2676731263029901
s-6_n-12_cn-8_cm-5.geojson,2,0.0010547790884847378,0.6902213229002617,0.5851422426964024,0.6834588782543068,1.2686011209507093
s-4_n-8_cn-4_cm-6.geojson,2,0.0007799978132665119,0.7319180409575382,0.34450589968598,0.9364205198228884,1.2809264195088685
s-7_n-14_cn-4_cm-6.geojson,2,0.0011868480678129585,0.6747187287492348,0.7008000370108897,0.5894092300391058,1.2902092670499954
s-5_n-10_cn-8_cm-5.geojson,2,0.0009317275422078962,0.7118176888159874,0.47738135515295277,0.8144776353289868,1.2918589904819395
s-7_n-14_cn-8_cm-6.geojson,2,0.0011908834615461108,0.6749378394866797,0.7043339837464587,0.5907385100019376,1.2950724937483962
s-4_n-8_cn-4_cm-7.geojson,2,0.000789566125559968,0.7331274521109903,0.35288523221964835,0.943757659170123,1.2966428913897714
s-5_n-10_cn-4_cm-5.geojson,2,0.0009308439252127036,0.7130972597753963,0.47660753837021846,0.8222404134438239,1.2988479518140423
s-4_n-8_cn-4_cm-8.geojson,2,0.0007944099144510517,0.7333088859618239,0.3571271211334369,0.9448583646184494,1.3019854857518864
s-8_n-16_cn-4_cm-7.geojson,2,0.0013152709229263223,0.6587208494070661,0.8132647826122573,0.49235483322897433,1.3056196158412317
s-8_n-16_cn-8_cm-7.geojson,2,0.0013282938372117564,0.6596326509659541,0.8246694406134122,0.4978864632916636,1.3225559039050758
s-6_n-12_cn-4_cm-6.geojson,2,0.0011071062262267477,0.692474797647992,0.6309670939583369,0.6971300422686104,1.3280971362269474
s-6_n-12_cn-8_cm-6.geojson,2,0.0011087299709055072,0.6932767256103881,0.6323890685130769,0.7019951017562375,1.3343841702693142
s-9_n-18_cn-4_cm-8.geojson,2,0.0014111353547427566,0.6501003888700891,0.8972168869860297,0.440057051770121,1.3372739387561507
s-9_n-18_cn-8_cm-8.geojson,2,0.001419312577448671,0.649669334085869,0.9043779898172553,0.43744197003461055,1.3418199598518659
s-5_n-10_cn-4_cm-6.geojson,2,0.0009631794589788697,0.7158445019760745,0.5049249868157162,0.8389071183848564,1.3438321052005726
s-5_n-10_cn-8_cm-6.geojson,2,0.0009680105197030905,0.7166671055809962,0.5091557291929562,0.8438976108733872,1.3530533400663434
s-7_n-14_cn-8_cm-7.geojson,2,0.0012421515274988822,0.6782482358044047,0.7492313658344276,0.6108217042145855,1.360053070049013
s-7_n-14_cn-4_cm-7.geojson,2,0.0012406000096705126,0.678701017255458,0.7478726430610588,0.6135685952042526,1.3614412382653114
s-5_n-10_cn-4_cm-7.geojson,2,0.0009833482757728926,0.7184590780653258,0.5225875815915298,0.8547689773118459,1.3773565589033758
s-8_n-16_cn-4_cm-8.geojson,2,0.0013725847328906133,0.6631031198507258,0.8634566511187561,0.5189407703692279,1.3823974214879842
s-8_n-16_cn-8_cm-8.geojson,2,0.0013854313033008804,0.6624102705733427,0.8747068781267555,0.5147374589641028,1.3894443370908585
s-5_n-10_cn-8_cm-7.geojson,2,0.0009922053575091433,0.7192360683145804,0.5303440626583824,0.8594827470781914,1.3898268097365738
s-6_n-12_cn-4_cm-7.geojson,2,0.0011500289327238248,0.6974820583613311,0.6685561295116635,0.7275076103080952,1.3960637398197586
s-5_n-10_cn-4_cm-8.geojson,2,0.000998271094425059,0.7194319540768038,0.5356560576185558,0.8606711279935401,1.3963271856120958
s-6_n-12_cn-8_cm-7.geojson,2,0.0011494501966952844,0.6984180809365907,0.6680493085087924,0.7331861821049851,1.4012354906137774
s-7_n-14_cn-4_cm-8.geojson,2,0.0012829286552452823,0.6813066675498296,0.7849414370231201,0.6293763039767392,1.4143177409998593
s-7_n-14_cn-8_cm-8.geojson,2,0.0012882348983246194,0.6809469296642502,0.7895883145395083,0.6271938807475158,1.416782195287024
s-5_n-10_cn-8_cm-8.geojson,2,0.0010070668935723353,0.7220660596514659,0.5433588712071958,0.8766514665256079,1.4200103377328037
s-6_n-12_cn-8_cm-8.geojson,2,0.001178303571818415,0.7022070866922133,0.6933172990864761,0.7561729580555165,1.4494902571419925
s-6_n-12_cn-4_cm-8.geojson,2,0.0011824861599525145,0.7026213881315805,0.6969801495194583,0.758686402208665,1.4556665517281233
s-4_n-8_cn-8_cm-1.geojson,3,0.0007015179062503197,0.6950658892323507,0.11095498226057944,0.5797752929308687,0.6907302751914481
s-5_n-10_cn-8_cm-1.geojson,3,0.0008869754656084762,0.6863395592824744,0.24853169260853744,0.46946271789497374,0.7179944105035112
s-4_n-8_cn-4_cm-1.geojson,3,0.0007304716430228261,0.6960045377710647,0.13243353439524572,0.5916410759065279,0.7240746103017737
s-3_n-6_cn-8_cm-1.geojson,3,0.0005519472401351735,0.7067037427306206,0.0,0.7268934508115311,0.7268934508115311
s-5_n-10_cn-4_cm-1.geojson,3,0.0009279757562596402,0.686224223156127,0.27894665725392015,0.4680047137666486,0.7469513710205687
s-3_n-6_cn-4_cm-1.geojson,3,0.0005762322227919458,0.7087565884449438,0.018015162263209244,0.7528441882004607,0.7708593504636699
s-6_n-12_cn-8_cm-1.geojson,3,0.0010990398889315842,0.6785813307253896,0.4058459905190736,0.37138824961737166,0.7772342401364453
s-11_n-22_cn-8_cm-2.geojson,3,0.0016190509653798407,0.6492024824425564,0.7916022438087577,0.0,0.7916022438087577
s-11_n-22_cn-8_cm-1.geojson,3,0.0016106555207234259,0.6505083060014751,0.785374308631916,0.016507370240899873,0.8018816788728159
s-10_n-20_cn-8_cm-1.geojson,3,0.0015544544303482091,0.6540219918701344,0.7436830388958647,0.060925096623631526,0.8046081355194963
